Sqrt(A) (m),Rn,t (cm),Dmax (mm)
3,0.27,4.5,0.132
4,0.27,4.5,0.289
5,0.27,4.5,0.541
6,0.27,4.5,0.906
7,0.27,4.5,1.405
8,0.27,4.5,2.051
9,0.27,4.5,2.859
10,0.27,4.5,3.842
11,0.27,4.5,5.01
12,0.27,4.5,6.375
13,0.27,4.5,7.95
14,0.27,4.5,9.745
15,0.27,4.5,11.772
16,0.27,4.5,14.041
17,0.27,4.5,16.566
18,0.27,4.5,19.356
2,0.28,4.5,0.043
3,0.28,4.5,0.126
4,0.28,4.5,0.278
5,0.28,4.5,0.52
6,0.28,4.5,0.872
7,0.28,4.5,1.351
8,0.28,4.5,1.971
9,0.28,4.5,2.746
10,0.28,4.5,3.687
11,0.28,4.5,4.806
12,0.28,4.5,6.113
13,0.28,4.5,7.62
14,0.28,4.5,9.337
15,0.28,4.5,11.277
16,0.28,4.5,13.448
17,0.28,4.5,15.863
18,0.28,4.5,18.533
2,0.29,4.5,0.041
3,0.29,4.5,0.121
4,0.29,4.5,0.268
5,0.29,4.5,0.501
6,0.29,4.5,0.84
7,0.29,4.5,1.301
8,0.29,4.5,1.897
9,0.29,4.5,2.641
10,0.29,4.5,3.545
11,0.29,4.5,4.618
12,0.29,4.5,5.871
13,0.29,4.5,7.315
14,0.29,4.5,8.962
15,0.29,4.5,10.82
16,0.29,4.5,12.902
17,0.29,4.5,15.217
18,0.29,4.5,17.775
2,0.3,4.5,0.04
3,0.3,4.5,0.117
4,0.3,4.5,0.258
5,0.3,4.5,0.483
6,0.3,4.5,0.81
7,0.3,4.5,1.255
8,0.3,4.5,1.829
9,0.3,4.5,2.544
10,0.3,4.5,3.412
11,0.3,4.5,4.443
12,0.3,4.5,5.647
13,0.3,4.5,7.034
14,0.3,4.5,8.615
15,0.3,4.5,10.399
16,0.3,4.5,12.397
17,0.3,4.5,14.62
18,0.3,4.5,17.076
2,0.31,4.5,0.038
3,0.31,4.5,0.113
4,0.31,4.5,0.249
5,0.31,4.5,0.467
6,0.31,4.5,0.783
7,0.31,4.5,1.212
8,0.31,4.5,1.765
9,0.31,4.5,2.454
10,0.31,4.5,3.29
11,0.31,4.5,4.281
12,0.31,4.5,5.439
13,0.31,4.5,6.773
14,0.31,4.5,8.293
15,0.31,4.5,10.009
16,0.31,4.5,11.931
17,0.31,4.5,14.068
18,0.31,4.5,16.43
2,0.32,4.5,0.037
3,0.32,4.5,0.109
4,0.32,4.5,0.241
5,0.32,4.5,0.452
6,0.32,4.5,0.758
7,0.32,4.5,1.172
8,0.32,4.5,1.706
9,0.32,4.5,2.37
10,0.32,4.5,3.175
11,0.32,4.5,4.131
12,0.32,4.5,5.246
13,0.32,4.5,6.531
14,0.32,4.5,7.995
15,0.32,4.5,9.647
16,0.32,4.5,11.498
17,0.32,4.5,13.556
18,0.32,4.5,15.83
2,0.33,4.5,0.036
3,0.33,4.5,0.106
4,0.33,4.5,0.234
5,0.33,4.5,0.438
6,0.33,4.5,0.734
7,0.33,4.5,1.134
8,0.33,4.5,1.65
9,0.33,4.5,2.292
10,0.33,4.5,3.069
11,0.33,4.5,3.991
12,0.33,4.5,5.066
13,0.33,4.5,6.306
14,0.33,4.5,7.717
15,0.33,4.5,9.311
16,0.33,4.5,11.096
17,0.33,4.5,13.08
18,0.33,4.5,15.274
2,0.34,4.5,0.035
3,0.34,4.5,0.102
4,0.34,4.5,0.227
5,0.34,4.5,0.425
6,0.34,4.5,0.712
7,0.34,4.5,1.099
8,0.34,4.5,1.599
9,0.34,4.5,2.219
10,0.34,4.5,2.97
11,0.34,4.5,3.86
12,0.34,4.5,4.899
13,0.34,4.5,6.096
14,0.34,4.5,7.459
15,0.34,4.5,8.998
16,0.34,4.5,10.721
17,0.34,4.5,12.638
18,0.34,4.5,14.756
2,0.35,4.5,0.034
3,0.35,4.5,0.099
4,0.35,4.5,0.22
5,0.35,4.5,0.413
6,0.35,4.5,0.691
7,0.35,4.5,1.067
8,0.35,4.5,1.55
9,0.35,4.5,2.15
10,0.35,4.5,2.877
11,0.35,4.5,3.738
12,0.35,4.5,4.743
13,0.35,4.5,5.9
14,0.35,4.5,7.218
15,0.35,4.5,8.706
16,0.35,4.5,10.372
17,0.35,4.5,12.225
18,0.35,4.5,14.273
2,0.36,4.5,0.033
3,0.36,4.5,0.097
4,0.36,4.5,0.214
5,0.36,4.5,0.401
6,0.36,4.5,0.672
7,0.36,4.5,1.036
8,0.36,4.5,1.505
9,0.36,4.5,2.086
10,0.36,4.5,2.79
11,0.36,4.5,3.624
12,0.36,4.5,4.597
13,0.36,4.5,5.717
14,0.36,4.5,6.993
15,0.36,4.5,8.434
16,0.36,4.5,10.047
17,0.36,4.5,11.84
18,0.36,4.5,13.823
2,0.37,4.5,0.032
3,0.37,4.5,0.094
4,0.37,4.5,0.209
5,0.37,4.5,0.391
6,0.37,4.5,0.653
7,0.37,4.5,1.007
8,0.37,4.5,1.462
9,0.37,4.5,2.026
10,0.37,4.5,2.709
11,0.37,4.5,3.517
12,0.37,4.5,4.46
13,0.37,4.5,5.546
14,0.37,4.5,6.782
15,0.37,4.5,8.179
16,0.37,4.5,9.742
17,0.37,4.5,11.48
18,0.37,4.5,13.401
2,0.38,4.5,0.031
3,0.38,4.5,0.092
4,0.38,4.5,0.203
5,0.38,4.5,0.381
6,0.38,4.5,0.636
7,0.38,4.5,0.98
8,0.38,4.5,1.422
9,0.38,4.5,1.97
10,0.38,4.5,2.632
11,0.38,4.5,3.417
12,0.38,4.5,4.332
13,0.38,4.5,5.385
14,0.38,4.5,6.585
15,0.38,4.5,7.94
16,0.38,4.5,9.457
17,0.38,4.5,11.143
18,0.38,4.5,13.007
2,0.39,4.5,0.03
3,0.39,4.5,0.089
4,0.39,4.5,0.198
5,0.39,4.5,0.371
6,0.39,4.5,0.62
7,0.39,4.5,0.955
8,0.39,4.5,1.385
9,0.39,4.5,1.917
10,0.39,4.5,2.56
11,0.39,4.5,3.322
12,0.39,4.5,4.211
13,0.39,4.5,5.235
14,0.39,4.5,6.4
15,0.39,4.5,7.716
16,0.39,4.5,9.189
17,0.39,4.5,10.827
18,0.39,4.5,12.637
2,0.4,4.5,0.03
3,0.4,4.5,0.087
4,0.4,4.5,0.194
5,0.4,4.5,0.362
6,0.4,4.5,0.605
7,0.4,4.5,0.931
8,0.4,4.5,1.349
9,0.4,4.5,1.867
10,0.4,4.5,2.493
11,0.4,4.5,3.234
12,0.4,4.5,4.098
13,0.4,4.5,5.093
14,0.4,4.5,6.226
15,0.4,4.5,7.505
16,0.4,4.5,8.938
17,0.4,4.5,10.53
18,0.4,4.5,12.289
2,0.1,5,0.149
3,0.1,5,0.431
4,0.1,5,0.922
5,0.1,5,1.666
6,0.1,5,2.709
7,0.1,5,4.1
8,0.1,5,5.89
9,0.1,5,8.135
10,0.1,5,10.891
11,0.1,5,14.215
12,0.1,5,18.16
13,0.1,5,22.781
