Sqrt(A) (m),Rn,t (cm),Dmax (mm)
18,0.25,4.5,107.626
2,0.26,4.5,0.19
3,0.26,4.5,0.622
5,0.26,4.5,2.777
6,0.26,4.5,4.699
7,0.26,4.5,7.296
8,0.26,4.5,10.646
9,0.26,4.5,14.827
10,0.26,4.5,19.917
11,0.26,4.5,25.992
12,0.26,4.5,33.13
13,0.26,4.5,41.41
14,0.26,4.5,50.906
15,0.26,4.5,61.695
16,0.26,4.5,73.85
17,0.26,4.5,87.446
18,0.26,4.5,102.555
2,0.27,4.5,0.182
3,0.27,4.5,0.597
4,0.27,4.5,1.389
5,0.27,4.5,2.661
6,0.27,4.5,4.497
7,0.27,4.5,6.977
8,0.27,4.5,10.174
9,0.27,4.5,14.164
10,0.27,4.5,19.019
11,0.27,4.5,24.816
12,0.27,4.5,31.628
13,0.27,4.5,39.53
14,0.27,4.5,48.593
15,0.27,4.5,58.892
16,0.27,4.5,70.495
17,0.27,4.5,83.474
18,0.27,4.5,97.897
2,0.28,4.5,0.175
3,0.28,4.5,0.574
4,0.28,4.5,1.334
5,0.28,4.5,2.553
6,0.28,4.5,4.311
7,0.28,4.5,6.682
8,0.28,4.5,9.738
9,0.28,4.5,13.551
10,0.28,4.5,18.192
11,0.28,4.5,23.732
12,0.28,4.5,30.244
13,0.28,4.5,37.798
14,0.28,4.5,46.463
15,0.28,4.5,56.31
16,0.28,4.5,67.404
17,0.28,4.5,79.815
18,0.28,4.5,93.607
2,0.29,4.5,0.169
3,0.29,4.5,0.553
4,0.29,4.5,1.283
5,0.29,4.5,2.452
6,0.29,4.5,4.137
7,0.29,4.5,6.408
8,0.29,4.5,9.334
9,0.29,4.5,12.985
10,0.29,4.5,17.427
11,0.29,4.5,22.732
12,0.29,4.5,28.966
13,0.29,4.5,36.2
14,0.29,4.5,44.497
15,0.29,4.5,53.927
16,0.29,4.5,64.552
17,0.29,4.5,76.437
18,0.29,4.5,89.646
2,0.3,4.5,0.163
3,0.3,4.5,0.532
4,0.3,4.5,1.236
5,0.3,4.5,2.359
6,0.3,4.5,3.976
7,0.3,4.5,6.155
8,0.3,4.5,8.961
9,0.3,4.5,12.461
10,0.3,4.5,16.722
11,0.3,4.5,21.809
12,0.3,4.5,27.79
13,0.3,4.5,34.728
14,0.3,4.5,42.688
15,0.3,4.5,51.734
16,0.3,4.5,61.927
17,0.3,4.5,73.329
18,0.3,4.5,86.001
2,0.31,4.5,0.157
3,0.31,4.5,0.513
4,0.31,4.5,1.191
5,0.31,4.5,2.271
6,0.31,4.5,3.825
7,0.31,4.5,5.918
8,0.31,4.5,8.613
9,0.31,4.5,11.975
10,0.31,4.5,16.067
11,0.31,4.5,20.955
12,0.31,4.5,26.7
13,0.31,4.5,33.368
14,0.31,4.5,41.018
15,0.31,4.5,49.712
16,0.31,4.5,59.51
17,0.31,4.5,70.47
18,0.31,4.5,82.651
2,0.32,4.5,0.151
3,0.32,4.5,0.495
4,0.32,4.5,1.148
5,0.32,4.5,2.187
6,0.32,4.5,3.681
7,0.32,4.5,5.692
8,0.32,4.5,8.282
9,0.32,4.5,11.512
10,0.32,4.5,15.445
11,0.32,4.5,20.143
12,0.32,4.5,25.667
13,0.32,4.5,32.078
14,0.32,4.5,39.434
15,0.32,4.5,47.796
16,0.32,4.5,57.219
17,0.32,4.5,67.761
18,0.32,4.5,79.478
2,0.33,4.5,0.146
3,0.33,4.5,0.479
4,0.33,4.5,1.109
5,0.33,4.5,2.111
6,0.33,4.5,3.55
7,0.33,4.5,5.486
8,0.33,4.5,7.98
9,0.33,4.5,11.09
10,0.33,4.5,14.877
11,0.33,4.5,19.402
12,0.33,4.5,24.722
13,0.33,4.5,30.897
14,0.33,4.5,37.984
15,0.33,4.5,46.039
16,0.33,4.5,55.117
17,0.33,4.5,65.274
18,0.33,4.5,76.563
2,0.34,4.5,0.142
3,0.34,4.5,0.464
4,0.34,4.5,1.072
5,0.34,4.5,2.039
6,0.34,4.5,3.427
7,0.34,4.5,5.294
8,0.34,4.5,7.697
9,0.34,4.5,10.696
10,0.34,4.5,14.347
11,0.34,4.5,18.709
12,0.34,4.5,23.84
13,0.34,4.5,29.795
14,0.34,4.5,36.629
15,0.34,4.5,44.398
16,0.34,4.5,53.155
17,0.34,4.5,62.951
18,0.34,4.5,73.84
2,0.35,4.5,0.138
3,0.35,4.5,0.449
4,0.35,4.5,1.038
5,0.35,4.5,1.972
6,0.35,4.5,3.312
7,0.35,4.5,5.113
8,0.35,4.5,7.433
9,0.35,4.5,10.326
10,0.35,4.5,13.851
11,0.35,4.5,18.061
12,0.35,4.5,23.014
13,0.35,4.5,28.763
14,0.35,4.5,35.362
15,0.35,4.5,42.864
16,0.35,4.5,51.319
17,0.35,4.5,60.778
18,0.35,4.5,71.293
2,0.36,4.5,0.133
3,0.36,4.5,0.435
4,0.36,4.5,1.005
5,0.36,4.5,1.909
6,0.36,4.5,3.203
7,0.36,4.5,4.944
8,0.36,4.5,7.184
9,0.36,4.5,9.98
10,0.36,4.5,13.385
11,0.36,4.5,17.454
12,0.36,4.5,22.24
13,0.36,4.5,27.797
14,0.36,4.5,34.175
15,0.36,4.5,41.425
16,0.36,4.5,49.598
17,0.36,4.5,58.742
18,0.36,4.5,68.906
2,0.37,4.5,0.13
3,0.37,4.5,0.422
4,0.37,4.5,0.974
5,0.37,4.5,1.849
6,0.37,4.5,3.101
7,0.37,4.5,4.784
8,0.37,4.5,6.951
9,0.37,4.5,9.655
10,0.37,4.5,12.948
11,0.37,4.5,16.884
12,0.37,4.5,21.514
13,0.37,4.5,26.89
14,0.37,4.5,33.06
15,0.37,4.5,40.075
16,0.37,4.5,47.983
17,0.37,4.5,56.83
18,0.37,4.5,66.666
2,0.38,4.5,0.126
3,0.38,4.5,0.41
4,0.38,4.5,0.945
5,0.38,4.5,1.792
6,0.38,4.5,3.005
7,0.38,4.5,4.634
8,0.38,4.5,6.732
9,0.38,4.5,9.349
10,0.38,4.5,12.537
11,0.38,4.5,16.348
12,0.38,4.5,20.831
13,0.38,4.5,26.037
14,0.38,4.5,32.012
15,0.38,4.5,38.806
16,0.38,4.5,46.465
17,0.38,4.5,55.033
18,0.38,4.5,64.559
2,0.39,4.5,0.122
3,0.39,4.5,0.399
4,0.39,4.5,0.918
5,0.39,4.5,1.739
6,0.39,4.5,2.914
7,0.39,4.5,4.493
8,0.39,4.5,6.525
9,0.39,4.5,9.061
10,0.39,4.5,12.15
11,0.39,4.5,15.843
12,0.39,4.5,20.188
13,0.39,4.5,25.234
14,0.39,4.5,31.026
15,0.39,4.5,37.611
16,0.39,4.5,45.035
17,0.39,4.5,53.341
18,0.39,4.5,62.575
2,0.4,4.5,0.119
3,0.4,4.5,0.388
4,0.4,4.5,0.892
5,0.4,4.5,1.689
6,0.4,4.5,2.828
7,0.4,4.5,4.359
8,0.4,4.5,6.329
9,0.4,4.5,8.789
10,0.4,4.5,11.785
11,0.4,4.5,15.367
12,0.4,4.5,19.582
13,0.4,4.5,24.477
14,0.4,4.5,30.095
15,0.4,4.5,36.484
16,0.4,4.5,43.687
17,0.4,4.5,51.745
18,0.4,4.5,60.705
2,0.1,5,0.46
3,0.1,5,1.551
4,0.1,5,3.631
5,0.1,5,7.008
6,0.1,5,12.002
7,0.1,5,18.933
8,0.1,5,28.114
9,0.1,5,39.839
10,0.1,5,54.38
11,0.1,5,71.99
12,0.1,5,92.905
13,0.1,5,117.346
14,0.1,5,145.521
15,0.1,5,177.634
